title,author,length
Bright Young Women,Jessica Knoll,12 hrs and 58 mins
Be Useful,Arnold Schwarzenegger,6 hrs and 19 mins
The Running Grave,Robert Galbraith,34 hrs and 14 mins
The Amityville Horror,Jay Anson,6 hrs and 28 mins
Percy Jackson and the Olympians: The Chalice of the Gods,Rick Riordan,7 hrs and 5 mins
Vault,Nicoli Gonnella,25 hrs and 34 mins
Face-Off: Shadows Landing,Kathleen Brooks,7 hrs and 26 mins
The Women,Kristin Hannah,15 hrs
The Stand,Stephen King,47 hrs and 47 mins
Fell for the Wrong One,Tay Mo'Nae,11 hrs and 35 mins
Ghost Town Living,Brent Underwood,9 hrs
Jackson,Neven Iliev,18 hrs and 1 min
My Effin' Life,Geddy Lee,16 hrs and 20 mins
Dracula [Audible Edition],Bram Stoker,15 hrs and 27 mins
French & Saunders Titting About (Series 4),Dawn French,3 hrs and 10 mins
The Tapestry of a Heart,Erin Zak,8 hrs and 25 mins
Spare,Prince Harry The Duke of Sussex,15 hrs and 39 mins
A Christmas to Remember,Beverly Jenkins,9 hrs and 20 mins
48 Laws of Power,Robert Greene,23 hrs and 6 mins
Iron Gold,Pierce Brown,23 hrs and 23 mins
Days Like Shadows Pass,M S Morris,7 hrs and 51 mins
A Court of Frost and Starlight,Sarah J. Maas,6 hrs and 23 mins
The Sea of Monsters,Rick Riordan,7 hrs and 55 mins
House of Striking Oaths,Olivia Wildenstein,15 hrs and 52 mins
Killing Floor,Lee Child,17 hrs and 47 mins
He Who Fights with Monsters 5,Shirtaloon,20 hrs and 5 mins
Golden Son,Pierce Brown,19 hrs and 3 mins
Mystified in Music City,Kristen Painter,7 hrs and 2 mins
"Prepper, Book 2",Tom Abrahams,7 hrs and 42 mins
Holly,Stephen King,15 hrs and 24 mins
Secrets We Left Behind,Susan Elliot Wright,10 hrs and 29 mins
A Dance with Dragons,George R.R. Martin,48 hrs and 55 mins
The Ballad of Songbirds and Snakes,Suzanne Collins,16 hrs and 16 mins
Project Hail Mary,Andy Weir,16 hrs and 10 mins
Path of Tyrants,J.N. Chaney,11 hrs and 8 mins
The New Menopause,Mary Claire Haver MD,11 hrs
The River's Edge,Joy Ellis,11 hrs and 24 mins
Mind Games,Nora Roberts,14 hrs and 30 mins
Making It So,Patrick Stewart,18 hrs and 50 mins
It Ends with Us,Colleen Hoover,11 hrs and 11 mins
Greenlights,Matthew McConaughey,6 hrs and 42 mins
Same as Ever,Morgan Housel,5 hrs and 46 mins
Argylle,Elly Conway,15 hrs
Dune Messiah,Frank Herbert,8 hrs and 57 mins
C. S. Lewis Essential Audio Library,C. S. Lewis,38 hrs and 50 mins
The Mad Mick Box Set Volume 1,Franklin Horton,26 hrs and 23 mins
Dungeon Diving 102,Bruce Sentar,11 hrs and 16 mins
A Dead Man Walking,JD Kirk,10 hrs and 15 mins
$100M Leads,Alex Hormozi,6 hrs
The Outsider,Stephen King,18 hrs and 41 mins
Lyric of Wind,Tricia O'Malley,6 hrs and 23 mins
Red Rising,Pierce Brown,16 hrs and 12 mins
The Dungeon Anarchist's Cookbook,Matt Dinniman,16 hrs and 54 mins
The Mystery Guest,Nita Prose,8 hrs and 23 mins
Can't Hurt Me,David Goggins,13 hrs and 37 mins
Words of Radiance,Brandon Sanderson,48 hrs and 13 mins
Elon Musk,Walter Isaacson,20 hrs and 27 mins
Demon Copperhead,Barbara Kingsolver,21 hrs and 3 mins
Starter Villain,John Scalzi,8 hrs and 5 mins
Bookshops & Bonedust,Travis Baldree,8 hrs and 1 min
Dark Age,Pierce Brown,33 hrs and 58 mins
Catnip Charms,Danielle Garrett,5 hrs and 3 mins
The Queen's Gambit,Walter Tevis,11 hrs and 50 mins
The Wind Runner,pirateaba,36 hrs and 30 mins
How to Win Friends & Influence People,Dale Carnegie,7 hrs and 15 mins
Golden Son (Part 2 of 2) (Dramatized Adaptation),Pierce Brown,8 hrs and 28 mins
Covet,Tracy Wolff,21 hrs and 39 mins
The Iliad,Homer,20 hrs and 23 mins
Feel-Good Productivity,Ali Abdaal,9 hrs
How to Talk to Anyone,Leil Lowndes,8 hrs and 59 mins
The Unfortunate Side Effects of Heartbreak and Magic,Breanne Randall,12 hrs and 26 mins
The Body Keeps the Score,Bessel A. van der Kolk,16 hrs and 15 mins
Craving in His Blood,Zoey Draven,11 hrs and 37 mins
The Power of Now,Eckhart Tolle,7 hrs and 37 mins
The First Rule of Mastery,Michael Gervais,9 hrs
It,Stephen King,44 hrs and 55 mins
Caught Up,Liz Tomforde,14 hrs and 50 mins
The Altar Girls,Patricia Gibney,13 hrs and 35 mins
Redemption,Meghan March,6 hrs
The Eye of the World,Robert Jordan,29 hrs and 57 mins
Star Wars: Thrawn Ascendancy,Timothy Zahn,15 hrs and 5 mins
Judgment Prey,John Sandford,11 hrs
The Aspects,Ivan Kal,36 hrs and 36 mins
Mother-Daughter Murder Night,Nina Simon,12 hrs and 38 mins
State of Bliss,Marie Force,Not Yet Known
Children of Dune,Frank Herbert,16 hrs and 51 mins
The Dragon Reborn,Robert Jordan,24 hrs and 48 mins
He Who Fights with Monsters 4,Shirtaloon,22 hrs and 20 mins
The Two Towers,J. R. R. Tolkien,16 hrs and 40 mins
Married to a Rich Gangster,Tatum James,5 hrs and 56 mins
Cherish,Tracy Wolff,17 hrs and 25 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,5 hrs and 17 mins
"Solo Leveling, Vol. 8",Chugong,7 hrs and 12 mins
He Who Fights with Monsters 2,Shirtaloon,22 hrs and 1 min
Casting Light,Alice Winters,9 hrs and 26 mins
The Wrong Game,S.M. Anderson,13 hrs and 51 mins
Eldest,Christopher Paolini,23 hrs and 30 mins
The Loyal Wife,Natalie Barelli,7 hrs and 8 mins
Persepolis Rising,James S. A. Corey,20 hrs and 34 mins
12 Rules for Life,Jordan B. Peterson,15 hrs and 40 mins
The Two Towers,J. R. R. Tolkien,20 hrs and 46 mins
Fairy Tale,Stephen King,24 hrs and 6 mins
Big Witch Energy,Molly Harper,9 hrs and 49 mins
Dune,Frank Herbert,21 hrs and 2 mins
Between Love and Loathing,Shain Rose,10 hrs and 29 mins
The Gloom Between Stars,Piper CJ,15 hrs and 15 mins
Funny Story,Emily Henry,11 hrs
Never Lie,Freida McFadden,7 hrs and 21 mins
Things We Never Got Over,Lucy Score,16 hrs and 1 min
Puck Yes,Lauren Blakely,9 hrs and 40 mins
Defiance of the Fall 8,TheFirstDefier,23 hrs and 22 mins
The Worst Ship in the Fleet,Skyler Ramirez,2 hrs and 51 mins
James Earl Jones Reads The Bible: King James Version,Topics Media Group,17 hrs and 15 mins
Enough,Cassidy Hutchinson,11 hrs and 36 mins
Tatum Comes Home,Mica Stone,7 hrs and 13 mins
Think and Grow Rich,Napoleon Hill,9 hrs and 35 mins
The Woman in Me,Britney Spears,5 hrs and 31 mins
Collateral,Brian Andrews,13 hrs and 7 mins
The 7 Habits of Highly Effective People,Stephen R. Covey,13 hrs and 4 mins
True Believer,Jack Carr,15 hrs and 44 mins
Atlas of the Heart,Brené Brown,8 hrs and 29 mins
The Bone Witch,Rin Chupeco,12 hrs and 8 mins
Night Side of the River,Jeanette Winterson,9 hrs and 2 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,98 hrs and 1 min
Things We Hide from the Light,Lucy Score,17 hrs and 36 mins
When I'm Dead,Hannah Morrissey,10 hrs and 37 mins
Sylver Seeker,Kennit Kenway,20 hrs and 29 mins
These Thin Lines,Milena McKay,11 hrs and 45 mins
Dom,S.J. Tilly,12 hrs and 25 mins
The Final Empire,Brandon Sanderson,24 hrs and 39 mins
Extreme Ownership,Jocko Willink,9 hrs and 33 mins
Atomic Habits,James Clear,5 hrs and 35 mins
Never Split the Difference,Chris Voss,8 hrs and 7 mins
Tom Clancy Command and Control,Marc Cameron,13 hrs and 14 mins
The Primal Hunter 5,Zogarth,17 hrs and 47 mins
Hopeless,Elsie Silver,11 hrs and 17 mins
God Emperor of Dune,Frank Herbert,15 hrs and 48 mins
Outlander,Diana Gabaldon,32 hrs and 38 mins
The Path of Ascension: Books 1-3.5,C. Mantis,70 hrs and 2 mins
10x Is Easier than 2x,Dan Sullivan,9 hrs and 58 mins
