date,home_team,score,away_team
08-10-2023,CA Paranaense,? - ?,RB Bragantino
15-04-2023,SE Palmeiras,2 - 1,Cuiaba
23-04-2023,Vasco da Gama,2 - 2,SE Palmeiras
29-04-2023,SE Palmeiras,2 - 1,Corinthians
07-05-2023,Goiás EC,0 - 5,SE Palmeiras
11-05-2023,SE Palmeiras,4 - 1,Grêmio Porto Al
13-05-2023,SE Palmeiras,1 - 1,RB Bragantino
21-05-2023,Santos,0 - 0,SE Palmeiras
28-05-2023,Atletico Mineiro,1 - 1,SE Palmeiras
04-06-2023,SE Palmeiras,3 - 1,Coritiba FBC
11-06-2023,Sao Paulo,0 - 2,SE Palmeiras
22-06-2023,EC Bahia,1 - 0,SE Palmeiras
25-06-2023,SE Palmeiras,0 - 1,Botafogo FR
02-07-2023,CA Paranaense,2 - 2,SE Palmeiras
09-07-2023,SE Palmeiras,1 - 1,Flamengo RJ
16-07-2023,Internacional RS,0 - 0,SE Palmeiras
22-07-2023,SE Palmeiras,3 - 1,Fortaleza EC
30-07-2023,America Mineiro,1 - 4,SE Palmeiras
06-08-2023,Fluminense FC,2 - 1,SE Palmeiras
14-08-2023,SE Palmeiras,1 - 0,Cruzeiro
19-08-2023,Cuiaba,0 - 2,SE Palmeiras
27-08-2023,SE Palmeiras,1 - 0,Vasco da Gama
03-09-2023,Corinthians,0 - 0,SE Palmeiras
16-09-2023,SE Palmeiras,1 - 0,Goiás EC
22-09-2023,Grêmio Porto Al,1 - 0,SE Palmeiras
01-10-2023,RB Bragantino,2 - 1,SE Palmeiras
08-10-2023,SE Palmeiras,? - ?,Santos
16-04-2023,Grêmio Porto Al,1 - 0,Santos
23-04-2023,Santos,0 - 0,Atletico Mineiro
29-04-2023,Santos,3 - 2,America Mineiro
06-05-2023,Cruzeiro,2 - 1,Santos
10-05-2023,Santos,3 - 0,EC Bahia
14-05-2023,Vasco da Gama,0 - 1,Santos
21-05-2023,Santos,0 - 0,SE Palmeiras
28-05-2023,RB Bragantino,2 - 0,Santos
04-06-2023,Santos,1 - 1,Internacional RS
10-06-2023,Coritiba FBC,0 - 0,Santos
21-06-2023,Santos,0 - 2,Corinthians
25-06-2023,Santos,2 - 3,Flamengo RJ
02-07-2023,Cuiaba,3 - 0,Santos
09-07-2023,Santos,4 - 3,Goiás EC
16-07-2023,Sao Paulo,4 - 1,Santos
23-07-2023,Santos,2 - 2,Botafogo FR
29-07-2023,Fluminense FC,1 - 0,Santos
05-08-2023,Santos,1 - 1,CA Paranaense
13-08-2023,Fortaleza EC,4 - 0,Santos
20-08-2023,Santos,2 - 1,Grêmio Porto Al
27-08-2023,Atletico Mineiro,2 - 0,Santos
03-09-2023,America Mineiro,2 - 0,Santos
14-09-2023,Santos,0 - 3,Cruzeiro
18-09-2023,EC Bahia,1 - 2,Santos
01-10-2023,Santos,4 - 1,Vasco da Gama
08-10-2023,SE Palmeiras,? - ?,Santos
15-04-2023,Botafogo FR,2 - 1,Sao Paulo
22-04-2023,Sao Paulo,3 - 0,America Mineiro
29-04-2023,Coritiba FBC,1 - 1,Sao Paulo
07-05-2023,Sao Paulo,2 - 0,Internacional RS
11-05-2023,Fortaleza EC,0 - 0,Sao Paulo
14-05-2023,Corinthians,1 - 1,Sao Paulo
20-05-2023,Sao Paulo,4 - 2,Vasco da Gama
28-05-2023,Sao Paulo,2 - 1,Goiás EC
04-06-2023,Grêmio Porto Al,2 - 1,Sao Paulo
